,ctypes,comparts,broadct,col_colors
endothelial_cell_of_arteriole,endothelial_cell_of_arteriole,Endothelium,endothelial_cell,#d62728
corneal_epithelial_cell,corneal_epithelial_cell,Epithelium,ecto_epithelial_cell,#bd9e39
radial_glial_cell,radial_glial_cell,Neural,stem_cell,#aec7e8
enterocyte_of_epithelium_proper_of_small_intestine,enterocyte_of_epithelium_proper_of_small_intestine,Epithelium,intestinal_epithelial_cell,#bcbd22
regular_atrial_cardiac_myocyte,regular_atrial_cardiac_myocyte,Stromal,contractile_cell,#98df8a
neuron,neuron,Neural,neuron,#8c6d31
oocyte,oocyte,Germline,female_germ_cell,#e7969c
taste_receptor_cell,taste_receptor_cell,Epithelium,ecto_epithelial_cell,#bd9e39
serous_cell_of_epithelium_of_bronchus,serous_cell_of_epithelium_of_bronchus,Epithelium,secretory_cell,#f7b6d2
kidney_epithelial_cell,kidney_epithelial_cell,Epithelium,kidney_epithelial_cell,#7b4173
retinal_pigment_epithelial_cell,retinal_pigment_epithelial_cell,Epithelium,retinal_pigment_epithelial_cell,#a55194
keratinocyte,keratinocyte,Epithelium,epithelial_cell,#7f7f7f
enterocyte_of_epithelium_proper_of_jejunum,enterocyte_of_epithelium_proper_of_jejunum,Epithelium,intestinal_epithelial_cell,#bcbd22
leukocyte,leukocyte,Immune,hematopoietic_cell,#c7c7c7
